timestamp (unix)	asset_composition (text)	asset_amounts (amounts)	btc_price ($)	total_portfolio_value ($)	pnl ($)	return (%)	apr (%)	net_gain_vs_hold ($)	capital_used_in_trading ($)	total_capital_locked ($)	lp_fees_earned ($)	trading_fees_paid ($)	gas_fees_paid ($)	max_drawdown (%)	max_gain (%)	impermanent_loss (%)	asset_exposure (%)	rebalancing_actions (#)	notes (text)
1746057600	cbBTC,USDC	0.05054348,5123.50	96481.37959397462	10000.00	0.00	0.000000	0.00	0.000000	10000.00	10000.00	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.00	0	Start
1746144000	cbBTC,USDC	0.05054348,5123.50	96879.41847267802	10024.74	24.74	0.247407	8.44	4.112957	10020.12	10020.12	4.622443	0.000000	0.000000	0.000000	0.247407	-0.000212	0.00	0	
1746230400	cbBTC,USDC	0.05054348,5123.50	95892.94686590518	9976.09	-23.91	-0.239136	7.09	6.580986	9970.26	9970.26	5.827798	0.000000	0.000000	0.485343	0.247407	-0.000468	0.00	0	
1746316800	cbBTC,USDC	0.05054348,5123.50	94290.04956169116	9896.98	-103.02	-1.030153	7.06	10.547025	9889.24	9889.24	7.742145	0.000000	0.000000	1.274407	0.247407	-0.006597	0.00	0	
1746403200	cbBTC,USDC	0.05054348,5123.50	94769.1355345628	9925.36	-74.64	-0.746419	8.69	14.092506	9913.46	9913.46	11.900851	0.000000	0.000000	1.274407	0.247407	-0.004008	0.00	0	
1746489600	cbBTC,USDC	0.05054348,5123.50	96825.21224535473	10034.03	34.03	0.340331	10.13	16.214486	10017.38	10017.38	16.654588	0.000000	0.000000	1.365836	0.340331	-0.000158	0.00	0	
1746576000	cbBTC,USDC	0.05054348,5123.50	97054.62035344666	10050.48	50.48	0.504797	11.21	20.772375	10028.97	10028.97	21.506118	0.000000	0.000000	1.527241	0.504797	-0.000439	0.00	0	
1746662400	cbBTC,USDC	0.05054348,5123.50	103227.7477112209	10375.10	375.10	3.751030	15.57	25.482739	10340.98	10340.98	34.118021	0.000000	0.000000	4.608323	3.751030	-0.057074	0.00	0	
1746748800	cbBTC,USDC	0.05054348,5123.50	102940.78743756423	10369.49	369.49	3.694866	17.44	34.737673	10326.48	10326.48	43.005648	0.000000	0.000000	4.608323	3.751030	-0.052471	0.00	0	
1746835200	cbBTC,USDC	0.05054348,5123.50	104762.23014521436	10465.73	465.73	4.657279	17.22	36.585434	10418.54	10418.54	47.184838	0.000000	0.000000	5.434339	4.657279	-0.084695	0.00	0	
